2026-07-14 20:51:33 | INFO | url=https://example.com | prediction=Safe | probability=0.0000 | confidence=100.00 | processing_time=5.579s
2026-07-14 20:54:33 | INFO | url=https://example.com | prediction=Safe | probability=0.0000 | confidence=100.00 | processing_time=5.459s
2026-07-14 20:58:08 | INFO | url=https://www.google.com | prediction=Safe | probability=0.0115 | confidence=98.85 | processing_time=3.732s
2026-07-14 20:58:55 | INFO | url=https://github.com | prediction=Safe | probability=0.0016 | confidence=99.84 | processing_time=8.695s
2026-07-14 20:59:33 | INFO | url=http://paypal-login-security-update.com | prediction=Phishing | probability=0.9896 | confidence=98.96 | processing_time=2.413s
2026-07-14 20:59:51 | INFO | url=https://bit.ly/3abcXYZ | prediction=Phishing | probability=0.9172 | confidence=91.72 | processing_time=8.809s
2026-07-14 21:00:11 | INFO | url=https://www.amazon.com | prediction=Safe | probability=0.0128 | confidence=98.72 | processing_time=3.901s
2026-07-14 21:01:28 | INFO | url=https://stackoverflow.com | prediction=Safe | probability=0.0002 | confidence=99.98 | processing_time=19.011s
2026-07-14 21:01:49 | INFO | url=https://openai.com | prediction=Safe | probability=0.0001 | confidence=99.99 | processing_time=10.895s
2026-07-14 21:02:08 | INFO | url=http://login-update-account.net | prediction=Phishing | probability=0.8994 | confidence=89.94 | processing_time=3.589s
2026-07-14 21:31:23 | INFO | url=https://example.com | prediction=Safe | probability=0.0000 | confidence=100.00 | processing_time=5.666s
2026-07-14 22:07:47 | INFO | url=https://www.google.com | prediction=Safe | probability=0.0123 | confidence=98.77 | processing_time=3.439s
2026-07-14 22:08:09 | INFO | url=http://paypal-login-security-update.com | prediction=Phishing | probability=0.9896 | confidence=98.96 | processing_time=3.856s
2026-07-14 22:08:27 | INFO | url=https://www.amazon.com | prediction=Safe | probability=0.0135 | confidence=98.65 | processing_time=6.453s
2026-07-14 22:08:49 | INFO | url=https://copilot.microsoft.com/ | prediction=Safe | probability=0.0180 | confidence=98.20 | processing_time=2.776s
2026-07-14 22:09:11 | INFO | url=https://bit.ly/3abcXYZ | prediction=Phishing | probability=0.9215 | confidence=92.15 | processing_time=9.394s
2026-07-15 09:20:17 | INFO | url=https://example.com | prediction=Phishing | probability=0.9307 | confidence=93.07 | processing_time=12.870s
2026-07-15 09:23:50 | INFO | url=https://www.google.com | prediction=Phishing | probability=0.9782 | confidence=97.82 | processing_time=11.902s
2026-07-15 09:29:31 | INFO | url=https://github.com | prediction=Phishing | probability=0.9769 | confidence=97.69 | processing_time=12.300s
2026-07-15 09:30:36 | INFO | url=https://example.com | prediction=Safe | probability=0.0000 | confidence=100.00 | processing_time=4.750s
2026-07-15 09:30:54 | INFO | url=https://github.com | prediction=Safe | probability=0.0017 | confidence=99.83 | processing_time=4.739s
2026-07-15 09:31:38 | INFO | url=https://www.google.com | prediction=Safe | probability=0.0123 | confidence=98.77 | processing_time=4.257s
2026-07-15 09:32:31 | INFO | url=http://paypal-login-security-update.com | prediction=Phishing | probability=0.9896 | confidence=98.96 | processing_time=4.633s
2026-07-15 09:35:56 | INFO | url=http://paypal-login-security-update.com | prediction=Phishing | probability=0.9896 | confidence=98.96 | processing_time=2.688s
2026-07-15 09:37:33 | INFO | url=https://kongu.ac.in/it | prediction=Safe | probability=0.0032 | confidence=99.68 | processing_time=11.235s
2026-07-16 09:41:32 | INFO | url=https://example.com | prediction=Safe | probability=0.0000 | confidence=100.00 | processing_time=4.893s
2026-07-16 09:46:16 | INFO | url=https://www.google.com | prediction=Safe | probability=0.0122 | confidence=98.78 | processing_time=3.816s
2026-07-16 09:48:58 | INFO | url=https://www.google.com | prediction=Phishing | probability=0.9777 | confidence=97.77 | processing_time=17.902s
2026-07-16 09:49:43 | INFO | url=https://www.google.com | prediction=Safe | probability=0.0113 | confidence=98.87 | processing_time=4.924s
2026-07-16 09:50:29 | INFO | url=http://login-facebook.verify-account-security.com | prediction=Phishing | probability=0.9985 | confidence=99.85 | processing_time=2.672s
2026-07-16 09:51:36 | INFO | url=https://academic.kongu.edu/#/regulation/2024 | prediction=Safe | probability=0.0073 | confidence=99.27 | processing_time=4.622s
2026-07-16 15:30:04 | INFO | url=https://example.com | prediction=Safe | probability=0.0000 | confidence=100.00 | processing_time=5.453s
2026-07-16 15:30:55 | INFO | url=https://kongu.ac.in/ief/docs/IIC_%202022-23.pdf | prediction=Safe | probability=0.4190 | confidence=58.10 | processing_time=13.872s
